Ref,Company Name,Website,Categories of Products/Services,Corporate Summary (Derived from company materials),AI/ML in Marketing,DHS Prime Contractor,Border Security Expo Exhibitor/Sponsor(2022-2025),Border Technology Summit 2024-2025,Homeland Security Technology Consortium Member,Additional notes,Parent Company/Alternative Name/DBA,"Related Companies (Subsidiaries, Distributors, Strategic Partners, Passthroughs)",Official DHS Programs,Federal Agency Contracts,USASpending.gov Link (DHS),Federal Procurement Data System Link (DHS),Related/Source Links,Related/Source Links.1,Related/Source Links.2
TECH211,TRAKKA Systems,https://www.trakkasystems.com/,"Surveillance Cameras, Counter Unmanned Aerial Systems (C-UAS), Unmanned Aerial System Cameras/Sensors","Trakkasystems.com: For more than two decades, Trakka Systems has been a pioneerin providing Critical Vision Technologies for airborne, land, andmaritime missions. Founded in 1995, Trakka operates engineering, manufacturing andservice facilities in Australia, Sweden and the United States. Ourcutting-edge products have gained global recognition and are embraced bymilitary, law enforcement, and commercial organizations.Our systems support a myriad of missions and are tailored to thespecific requirements of our customers. They are typically integratedinto helicopters, fixed-wing aircraft, unmanned aerial vehicles (UAVs),ground vehicles and maritime vessels.",,,Y,Y,,"Products include: TrakkaCam® gyro-stabilized multi-spectral imagers, TrakkaBeam® high-intensity searchlights, and TrakkaMaps® mapping and mission management software, TIPS-C CUAS.",TRAKKA Systems,"TRAKKA USA LLC,",,DHS,https://www.usaspending.gov/search/?hash=50a5ad88d75547b1fe0e8f15480707e3,https://www.fpds.gov/ezsearch/fpdsportal?q=trakka+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+ULTIMATE_UEI_NAME%3A%22TRAKKA+USA%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.trakkasystems.com/border-security-land/,https://migration-control.info/en/library/profiteers/trakka-systems/,https://www.youtube.com/channel/UCAhsrmGkrzYVHS1MIfjKGlw
TECH227,"Will-Burt Company, the",https://www.willburt.com/industries-served/border-patrol/,Mobile Surveillance Towers,"Willburt.com: Will-Burt designs and manufactures a variety of elevation, trailer, security and Will-Burt designs and manufactures a variety of elevation, trailer, security and integrated solutions to enhance the performance and safety of Border operations around the world. These solutions have been field tested and proven in a variety of environments such as the sub-freezing climate of the Arctic to the sands and extreme heat of the harshest desert regions. Border Patrol agents can be assured of optimal performance time after time. integrated solutions to protect and secure borders and high value assets across the country and around the world. A variety of portable telescoping masts and towers optimize performance of surveillance and communications equipment ensuring the safety of agents, citizens and property. These MIL-STD-810 standard solutions are field tested and proven in a variety of environments such as the sub-freezing climate of the Arctic to the sands and extreme heat of the harshest desert regions. With Will-Burt’s telescoping mast solutions, Border officers can be assured fast, optimal performance every time.",,,Y,Y,,Products include: Stiletto Telescoping Mast Series.,,"PureTech Systems, Inc.",Mobile Video Surveillance Systems (MVSS),"DHS, ICE, CBP",https://www.usaspending.gov/search/?hash=2cbcac79426d7f35e549dc5585904fc0,https://www.fpds.gov/ezsearch/search.do?q=will-burt+company+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://www.dhs.gov/sites/default/files/publications/cbp_-_fy_2020_expenditure_plan_cbp_procurement_construction_and_improvement.pdf,https://www.border-security-report.com/puretech-and-will-burt-collaboration-launch-modular-mobile-surveillance-system-m2s2/,
TECH004,Advanced Technology Systems Company (ATSC),https://www.atscva.com/category/products/vehicle-mobile-surveillance-solution/,"Counter-Unmanned Aerial Surveillance Systems (C-UAS), Mobile Surveillance Towers","Atsva.com: Advanced Technology Systems Company (ATSC) is a U.S. Defense and Government contracting company that specializes in providing government and defense agencies, domestic and global, with technology solutions for their Communication, Systems Integration, Cyber Security, Force Protection, and Logistics needs through our extensive domestic and Foreign Military Sales (FMS) experience. At ATSC, we design and implement solutions that ensure our clients’ air, land, and sea operations are able to achieve optimal results.",Y,,Y,,Y,"Products include: M2SV, MBSV, DroneSting.",,"Advanced Technology Systems Company Inc., Advanced Technology Systems Inc., ",Mobile Video Surveillance Systems (MVSS),"DHS, CBP, DOD, DOS",https://www.usaspending.gov/search/?hash=2eb0cebff6c38984691b21c5c0b7ba13,https://www.fpds.gov/ezsearch/search.do?q=Advanced+Technology+Systems+Company+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://www.defensedaily.com/cbp-awards-new-surveillance-tower-contracts-to-atsc-gd-elbit/homeland-security/,,
TECH006,Akima,https://www.akima.com/,"Wide-Ranging Defense, Surveillance, and IT Products/Services","akima.com: Akima maintains a portfolio of small businesses, 8(a) companies, and operating companies that deliver simplified and accelerated access to the products and services agencies need to ensure mission success.",Y,Y,,,,,,Affigent,,"DHS, DOD and others",https://www.usaspending.gov/search/?hash=812412f2ea1dbfce386db21410741bd8,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=Akima+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.akima.com/wp-content/uploads/2020/12/Akima-Capability-Brochure_Protective-Services.pdf,https://www.linkedin.com/posts/akima_bordersecurityexpo-bordersecurity-activity-7198768050026803200-7Ahn?utm_source=share&utm_medium=member_desktop,
TECH021,Benchmark Secure Technology (Tactical Micro),https://www.bench.com/surveillance-threat-detection,Mobile Surveillance Towers,"Bench.com: Whether it be our Integrated Surveillance System (ISS), used by U.S. Border Patrol to keep America's borders safe and secure, or our new high-performance imaging system, our goal is to give professionals the situational awareness tools they need to achieve their objectives.",Y,,Y,,Y,"Products include: MVSS units, integrated surveillance systems..",Benchmark Electronics,Tactical Micro,Mobile VIdeo Surveillance Systems (MVSS),"DHS, CBP",https://www.usaspending.gov/search/?hash=b30f863f66d00d177617812151ddfd60,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22+VENDOR_FULL_NAME%3A%22TACTICAL+MICRO%2C+INC.%22+UEI_NAME%3A%22TACTICAL+MICRO%2C+INC.%22&x=0&y=0,https://investigate.afsc.org/company/benchmark-electronics,https://www.defensedaily.com/cbp-awards-tactical-micro-50m-for-mvss-after-year-long-delay/uncategorized/,https://www.cnet.com/tech/computing/trumps-border-wall-could-be-a-virtual-barrier-patrolled-by-drones-too/
TECH023,Blighter Surveillance Systems,https://www.blighter.com/key-markets/national-border-security/,"Counter-Unmanned Aerials Vehicles (C-UAS), Radar","Blighter.com: The Blighter radar uses patented, state-of-the-art electronic-scanning (e-scan), FMCW and Doppler signal processing technology to provide a robust, ultra-reliable, zero moving parts remote sensor that will detect intruders and cross-border activities in all weather conditions and in most environments. The Blighter radar is ideally suited to remote detection over large open-areas of land including rocky mountainous terrain.",Y,,Y,,,"Products include: B422 LR (Long Range) Border Surveillance System, B400 series radar, Blighterview HMI 2 software, Blightertrack target tracking software, A800 3d UAV detection with AI.",,JGW Group (Strategic Partner),,No data,No data,No data,https://www.blighter.com/products/b422-lr-border-surveillance-system/,https://www.unmannedairspace.info/counter-uas-systems-and-policies/blighter-appoints-jgw-group-to-help-expand-counter-drone-services-in-the-us/,https://www.gsaelibrary.gsa.gov/ElibMain/home.dohttp:/www.gsaelibrary.%20gsa.gov/ElibMain/contractorInfo.do?contractNumber=47QSMA19D08QX&contractorName=J.G.W.+%28INTERNATIONAL%29+LTD.&executeQuery=YES
TECH026,Boeing Company,https://www.boeing.com/defense/autonomous-systems#remote,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Boeing.com: Unmanned aircraft systems (UAS) can fill gaps that are seemingly impossible. From providing safer inspections in dangerous or harsh environments to assessing hard-to-reach places, we deliver real-time information our customers need for unparalleled global business intelligence. With more than 10 years of UAS flight services and information delivery experience, Boeing-Insitu can help maximize the power of UAS, safely, providing detailed, actionable information for real-time decisions.",Y,Y,,,,Products include: X-200 Unmanned Aerial Vehicle (UAV) System and ScanEagle™ software.,Boeing,"Insitu, Inc., Insitu Pacific Limited, Digital Receiver Technology",DHS Secure Border Initiative (SBInet) 2005-2011.,"DOD, DHS",https://www.usaspending.gov/search/?hash=588291aa5d924b7fcac1dfee2e425dce,https://www.fpds.gov/ezsearch/fpdsportal?q=Boeing+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.spytalk.co/p/boeings-billion-dollar-border-flop,https://www.safetyact.gov/at/?view=&search=The%20Boeing%20Company&page=2,
TECH027,Bounce Imaging,https://bounceimaging.com/homeland-security/,360° Cameras,"Bounceimaging.com: “Whether in container and confined space inspection or tactical scenarios, Bounce Imaging’s world-class imaging technologies offer the men and women of U.S Customs and Border Protection easy-to-use, rugged, and reliable surveillance solutions for the most challenging environments, allowing agents to do their important work more safely and more efficiently” said Mark Fargason, COO at Bounce Imaging.",,,Y,,Y,"Products include: Explorer™ Unleashed 2.0 cameras, Recce 360 Minis, Land Shark K-9 Camera systems..",,,,"DOD, DOJ, DHS, CBP and others",https://www.usaspending.gov/search/?hash=7c5febd9606a4d325554a458758aa6e9,https://www.fpds.gov/ezsearch/search.do?q=Bounce+Imaging+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://bounceimaging.com/2022-5-2-bounce-imaging-raises-4-2-million-series-a-prime-round-adds-former-pentagon-chief-to-board/,,
TECH037,Cemtrex Inc,https://cemtrex.com/,Surveillance Cameras,"Cemtrax.com: Since 2004, Cemtrex has been a leading technology partner for the world’s most influential brands, empowering them with innovative technology that drives their businesses and their products....In recent years, we’ve shifted into emergent technologies like AI-based analytics, smart video management solutions to help businesses and organizations world-wide find new value through technology.",Y,,,,,,,"Vicon Industries Inc., AIS",,"DHS, DOJ, DOD, and others",Vicon Industries: https://www.usaspending.gov/search/?hash=8c8e0d0de17fe234cae8a110fa03b438,https://www.fpds.gov/ezsearch/fpdsportal?q=Cemtrex+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+++UEI_NAME%3A%22VICON+INDUSTRIES+INC%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://investigate.afsc.org/company/cemtrex,,
TECH038,Chess Dynamics,https://www.chess-dynamics.com/Surveillance,"Counter-Unmanned Aerial Systems (C-UAS), Surveillance Cameras","Chess-dynamics.com: Chess’ electro optic surveillance systems provide 24-hour passive surveillance and target identification. By using the latest generation of advanced multi-spectral sensors, which include field proven MWIR and LWIR Thermal Imaging (TI) technology, our systems can detect, recognise, and identify threats.",Y,,Y,,,"Products include: Piranha series cameras, Condor series cameras, Hawkeye fixed and mobile surveillance systems..",,"Cohort PLC group, Vision4ce",,No data,No data,No data,https://www.chess-dynamics.com/Surveillance/Land,,
TECH039,Clear Align,https://clearalign.com/Borders,"Surveillance Cameras, Video Analytics/Computer Vision","Clearalign.com: The United States and 17 other nations rely on Clear Align for surveillance of ports, borders and critical infrastructure. Whether carried by an agent, installed on fixed or mobile towers, manned/unmanned ground vehicles, aerostats or manned/unmanned aircraft, our infrared and visible imaging solutions reliably in the most demanding environments.",Y,,Y,,,"Products include: MirZ series lenses, SirZ series lenses, VIF series lenses, Z series lenses, VZ series lenses. The technology can be used for UAS.",,,,DOD,"No DHS spending data, https://www.usaspending.gov/search/?hash=97b5c480fa761346c09ecae311b9d7ed","No DHS spending data, https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=++UEI_NAME%3A%22CLEAR+ALIGN+LLC%22++&x=20&y=9",https://clearalign.com/News/clear-align-increases-operational-availability-on-the-us-border,,
TECH235,Clear Align,https://clearalign.com/Borders,"Surveillance Towers, Surveillance Cameras","The United States and 17 other nations rely on Clear Align for surveillance of ports, borders and critical infrastructure. Whether carried by an agent, installed on fixed or mobile towers, manned/unmanned ground vehicles, aerostats or manned/unmanned aircraft, our infrared and visible imaging solutions reliably in the most demanding environments.",Y,,Y,,,,,,RVSS-NB,FAA,No DHS Spending Data. Purchases made through FAA. https://www.usaspending.gov/search/?hash=6224a1dc609a6079afb63248e130d1c5,No DHS spending data. Purchase made through FAA https://www.fpds.gov/ezsearch/search.do?q=clear+align+DEPARTMENT_FULL_NAME%3A%22TRANSPORTATION%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,,,
TECH044,Constellis,https://www.constellis.com/,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Constellis.com/services/uas: Constellis’ UAS project experience ranges from aerial mapping and geospatial surveying to maritime surveillance, critical infrastructure security and threat analysis for government and commercial customers.",Y,,Y,,,,"Constellis Holdings, LLC","Centerra Group LLC, Wackenhut Corp., G4S Government Solutions, Triple Canopy LLC, Omniplelx World Services Corporation",,"DHS, DOE, DOD, DOJ, DOS and others",Triple Canopy: https://www.usaspending.gov/search/?hash=0ee3207dc4c02494b6fab6ce9d4e3a34,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=Constellis+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.linkedin.com/posts/brianammerman_come-and-visit-our-awesome-clients-at-constellis-activity-7198723936644202496-tm-2?utm_source=share&utm_medium=member_desktop,https://constellis.com/press/constellis-awarded-two-department-of-homeland-security-federalprotective-service-contracts/,
TECH045,Controp USA,https://www.controp.com/,"Surveillance Cameras, Video Analytics/Computer Vision","Controp.com: CONTROP Precision Technologies Ltd. is a privately owned company headquartered in Hod HaSharon, Israel, that specializes in the development and production of EO/IR systems for intelligence, surveillance, reconnaissance and targeting missions for air, land, and maritime applications including Homeland Security, Defense, and more.",Y,,Y,,Y,Controp USA technology is designed for UAS and counter-UAS systems.,,,,"DHS, DOD",https://www.usaspending.gov/search/?hash=c9876dc22e54a56fdbdbe6bb467dd51b,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=Controp+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.controp.com/press-releases/cbp-speed-lr/,https://www.linkedin.com/pulse/homeland-security-surveillance-camera-market-2024-eky4c/,
TECH048,Critical Tech Solutions,https://www.criticalts.com/,Mobile Surveillance Towers,"Criticalts.com/the-ratt: The RATT can be deployed in less than half the time of most camera trailers in a matter of minutes. For you, that means you don’t miss a beat at any special event or critical incident. In an emergency, being able to set up, install, and deploy your portable camera or antenna mast is critical to the success of your operation. After all, you need to have constant coverage and be prepared to hit the ground running when disaster strikes. The RATT enables you to do just that by providing you with a quick-deploy tower that gets you started on the task at hand (calmly).",Y,,Y,,,Products include: The RATT (Rapid All-Terrain Tower).,Propel OPS LLC,,,"DHS, Commerece Dept.",https://www.usaspending.gov/search/?hash=4b5487edd0a444479455cff384e231c3,https://www.fpds.gov/ezsearch/fpdsportal?q=Propel+Ops+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.tips-usa.com/vendorProfile.cfm?RecordID=775A50C4FC1C2A17A0DFFC226DD6D399,https://x.com/CriticalTS/status/1793000936077701215,
TECH049,Cspeed,https://www.cspeed.com/,Aerostats,"Cspeed.com: C Speed is a Small Business that provides radar OEM products and integrated intelligence, surveillance, and reconnaissance (ISR) solutions including but not limited to IFF, ADS-B, Optics, ELINT, AIS and Comm to its ISR customers...To support national security missions along the southwest border, U.S. Customs and Border Protection has awarded TARS to QinetiQ US. C Speed has been issued a subcontract by prime contractor QinetiQ US as part of their recently awarded TARS contract. QinetiQ has received a U.S. Department of Homeland Security (DHS) Customs and Border Protection (CBP) Air and Marine (AMO) Tethered Aerostat Radar System (TARS) Operations & Maintenance (O&M) III contract, comprising one base with four option years, valued at $170M.",,,,,Y,"Products include: LSR-1000 family of radar surveillance equipment.Subcontractor of QinetiQ, part of ""ACES"" team for TARS program fr. om CBP which includes CSpeed, Elevtated Technologies, and Skyship Services",,,Tethered Aerostat Radar System (TARS),DHS,https://www.usaspending.gov/search/?hash=dd427fe2ce72436dd49a278d2fd29db0,https://www.fpds.gov/ezsearch/fpdsportal?q=%22aerostat%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22+VENDOR_FULL_NAME%3A%22C+SPEED%2C+LLC%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.cspeed.com/tars-award-pr,,
TECH058,"DeTect, Inc.",https://detect-inc.com/,"Counter-UAS (C-UAS), Radar","Detect-inc.com: DeTect, Inc specializes in advanced 2D and True3D™ radar and related remote sensing technologies and systems, with Artificial Intelligence target classification technology, for aviation safety, security and surveillance, drone defense and environmental protection and renewable energy with over 600 radar systems delivered worldwide since 2003.",Y,,Y,,,Products include: DroneWatcher.,,,,"DOD, HHS","No DHS Data, https://www.usaspending.gov/search/?hash=2568c512789cc3390d74e8c259f6d547",No DHS Data https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=%22DeTect+Inc%22+&x=0&y=0,https://www.linkedin.com/posts/detect_detectinc-dronedetection-innovation-activity-7211326044115476480-XP2m?utm_source=share&utm_medium=member_desktop,https://www.researchgate.net/publication/260671776_The_DeTect_Inc_RAPTOR_VAD-BL_radar_wind_profiler,
TECH067,Eagle Eye Networks,https://www.een.com/,Surveillance Camera Management Software,"Een.com: Eagle Eye Networks is the global leader in cloud video surveillance, delivering cyber-secure, cloud-based video with artificial intelligence (AI) and analytics to make businesses more efficient and the world a safer place. Eagle Eye provides security and real-time business intelligence, helping organizations of all sizes and types optimize operations.",Y,,Y,,,Products include: Eagle Eye Security Camera VMS.,,,,No data,No data,"No federal spending data. Eagle Eye Systems are sold to the federal government through other vendors, per company website FAQ.",https://www.een.com/support/cloud-vms-faq/,,
TECH070,Elbit Systems of America (also known as EFW Inc),https://www.nextgenborder.com/,"Surveillance Towers, Unattanded Ground Sensors (UGS), Unmanned Aerial Systems (UAS), Counter-Unmanned Aerial Systems (C-UAS), Mobile Surveillance Towers, Radar","Elbit Systems of America LinkedIn: Elbit Systems of America is a leading provider of high performance products and system solutions focusing on the defense, homeland security, commercial aviation and medical instrumentation markets. With facilities throughout the United States, Elbit Systems of America is dedicated to supporting those who contribute daily to the safety and security of the United States. Elbit Systems of America, LLC is wholly owned by Elbit Systems Ltd. (NASDAQ: ESLT), a global electronics company engaged in a wide range of programs for innovative defense and commercial applications.",Y,,Y,,Y,Products include: Integrated Fixed Towers (IFTs).,Elbit Systems (Israel),,,"DHS, CBP, DOD",https://www.usaspending.gov/search/?hash=cf181897811e1995a01ad36c415e3c90,https://www.fpds.gov/ezsearch/fpdsportal?q=Elbit+DEPARTMENT_FULL_NAME%3A%22HOMELAND%20SECURITY%2C%20DEPARTMENT%20OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.%20CUSTOMS%20AND%20BORDER%20PROTECTION%22+ULTIMATE_UEI_NAME%3A%22ELBIT%20SYSTEMS%20LTD.%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&sortBy=SIGNED_DATE&desc=Y,https://theintercept.com/2024/03/12/dhs-border-towers-ai/,https://www.elbitamerica.com/homeland-security,
TECH072,Elta North America,https://eltanorthamerica.com/solutions/homeland-security/,"Radar, Counter-Unmanned Aerial Systems (cUAS)","Eltanorthamerica.com: From border and facility protection, secure network communication to emergency response, we offer a range of solutions to accurately and swiftly detect, locate and target threats to public safety. Our solutions include real-time situational awareness, 24/7 surveillance, 360º coverage, and active and passive sensors.",,,Y,,,"Products include: MADS-K, OTM, OTHELLO, Tac4G, 2000 and 7000 series radar products.",IAI (Israel),"IAI North America,",,"CBP, DOD, DHS,",https://www.usaspending.gov/search/?hash=0bcb5bcbe9c42a7f831e45ad1ffdf002,https://www.fpds.gov/ezsearch/search.do?q=Elta+North+America+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+ULTIMATE_UEI_NAME%3A%22IAI+NORTH+AMERICA+INC.%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://sam.gov/opp/67129ec4de4f4dbe88ca6ac247ee20da/view,https://www.rfpmart.com/723305-us-fed-6973gh-24-rfi-00008-cbp-elta-ift-rvss-u-radar-repairs.html,
TECH088,"Geospace Technologies/Quantum Technology Sciences, Inc",https://www.geospace.com/,Geophysycal Sensors,"Geospace.com: Quantum designs and sells tactical security and surveillance solutions to safeguard highly valued assets, critical infrastructure and borders. Since its inception in 1991, Quantum has provided valuable geophysical sensing technologies to serve various U.S. government missions to include the Department of Defense, Department of Energy, Department of Homeland Security and other agencies. Quantum Technology Sciences, Inc. is a wholly owned subsidiary of Geospace Technologies Corporation",,,,,,,,Formerly known as Oyo Geospace Corporation,,"DHS, DOD, DOI",https://www.usaspending.gov/search/?hash=40b23cfeb77981d07daffbb6ad442c8d,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=M4M2UMNGAG33+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+&x=25&y=20,https://www.geospace.com/news/geospace-subsidiary-quantum-technology-sciences-awarded-u-s-homeland-security-contract/,,
TECH096,Hanwha Vision,https://hanwhavisionamerica.com/,"Surveillance Cameras, Video Analytics/Computer Vision","Hanwhavisionamerica.com: Vision (formerly Hanwha Techwin) has been leading the global video surveillance industry with world-class optical design, image processing and cybersecurity technologies for more than 30 years. As it broadens its business to become a global vision solution provider, Hanwha Vision will deliver more valuable and meaningful insights to customers by collecting key information and providing big data analytics utilizing AI and cloud technologies.",Y,,Y,,,,"Hanwha Group (S. Korea), Hanwha Aerospace (S. Korea)",Hanwha Vision America,,No data,No data,No federal spending data. Hanwha America partners with other vendors for distribution. https://hanwhavisionamerica.com/technology-partnerships/,https://hanwhavisionamerica.com/2024/04/03/hanwha-vision-delivers-ai-for-every-surveillance-application-at-isc-west-2024/,https://americansecuritytoday.com/hanwha-unveils-solidedge-first-truly-serverless-camera-with-onboard-ssd/,
TECH100,Hitachi Kokusai USA,https://www.hitachikokusai.us/,Surveillance Cameras,"Hitachikokusai.com: Hitachi Kokusai Electric America, Ltd. is highly focused in the professional video industry on emerging technology. Our DSP-based products and chip technology are widely used by several industries.",,,Y,,,,Hitachi Corporation Japan,,,"DHS, DOD, HHS, DOI and others",https://www.usaspending.gov/search/?hash=1d3dec7784c23dd655d0ff75f2860e1b,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=Hitachi+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+&x=0&y=0,https://www.linkedin.com/posts/john-fisher-15880311_bordersecurity-bordercontrol-shippingindustry-activity-6904897679097167872-zijJ?utm_source=share&utm_medium=member_desktop,https://www.hitachikokusai.us/CrucialImagingDivision,
TECH102,IAI North America,https://www.iai.co.il/,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Iai.co.il: We offer a vast portfolio producing air and missile defense, unmanned aerial systems (UAS), ground robotics, precision-guided weapons, and loitering munitions. We deliver special-mission aircraft, modernize military aircraft and helicopters, and convert passenger jets into cargo aircraft through modification, conversion, and system integration. Our technology expertise features systems and solutions from reconnaissance satellites and radars to all aspects of command, control, and communications, computing and cyber, intelligence, surveillance, and reconnaissance systems (C5ISR).",Y,,Y,,,,IAI (Israel Aerospace Industries Ltd.),"ELTA Systems, ELTA Electronics Industries Ltd., Golan Industries, Stark Aerospace",,"DHS, CBP, DOD, HHS, DOA",https://www.usaspending.gov/search/?hash=d6b08a4c1a9d739173ece9399d9be61b,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=IAI+North+America+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.defenceiq.com/events-bordersecurityafrica/sponsors/israel-aerospace-industries,https://www.iai.co.il/cyber-hls/homeland-security-hls,
TECH104,ideaForge Technology Inc,https://ideaforgetech.com/security-surveillance,Unmanned Aerial Systems (UAS),"Ideaforgetech.com: ideaForge UAVs can assist defense forces in conducting Intelligence, Surveillance, and Reconnaissance (ISR) operations along borders.",Y,,Y,,,"Products include: Switch UAV, Netra UAV, Q4i UAV, Ninja UAV",ideaForge Technology Ltd. (India),,,No data,No data,No data,https://www.prnewswire.com/news-releases/ideaforge-introduces-breakthrough-border-protection-and-public-safety-solutions-for-the-us-market-302118254.html,,
TECH106,ILC Dover,https://www.ilcdover.com/products/tethered-aerostats/,Aerostats,"ILC Dover develops helium-filled aerostats for various intelligence, surveillance, and reconnaissance (ISR) applications as these missions become increasingly vital to national security.",,,,,,,,"VERSIK Analytics, New ILC Dover Inc.",,"DHS, DOD, DOS",https://www.usaspending.gov/search/?hash=78d9844af5037d794feb55e163c337dc,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=ILC+Dover+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.cbp.gov/sites/default/files/assets/documents/2021-Aug/TARS_508%20compliant.pdf,,
TECH112,IntegriWard,https://www.integriward.us/,"Facility Operations, Intrustion Detection, Surveillance Installation Services","Integriward.com: IntegriWard, LLC (WARD) was founded in 2011 and is headquartered in San Antonio, Texas. We are dedicated to providing high-level support services to our government and commercial clients and have project offices and personnel in thirty (30) U.S. states and territories. WARD specializes in providing full life cycle management of civil engineering functions, facility operations and maintenance, protection, and security services across the country at Federal, State, and commercial sites including law enforcement facilities, training compounds, research laboratories, medical centers, military distribution centers, and school districts",,,Y,,,,,,,"DHS, DOD, EPA, DOJ, DOI",https://www.usaspending.gov/search/?hash=6b195aa431055a4ce3de01f973296e31,https://www.fpds.gov/ezsearch/fpdsportal?q=IntegriWard+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://app.g2xchange.com/fedciv/posts/dhs-cbp-awards-facility-services-contract,https://www.usaspending.gov/search/?hash=5e338f91c8f1fae6d84e49b710342b1c,
